run_id,target,class,threshold,n_gt,recall
e1_0_y26,ctg_pooled_eval,auto_rickshaw,0.44,1796,0.4543
e1_0_y26,ctg_pooled_eval,bicycle,0.44,19,0.0
e1_0_y26,ctg_pooled_eval,bus,0.44,411,0.3139
e1_0_y26,ctg_pooled_eval,car,0.44,1122,0.4465
e1_0_y26,ctg_pooled_eval,cart_vehicle,0.44,19,0.0
e1_0_y26,ctg_pooled_eval,construction_vehicle,0.44,11,0.0
e1_0_y26,ctg_pooled_eval,motorbike,0.44,401,0.384
e1_0_y26,ctg_pooled_eval,person,0.44,2509,0.23
e1_0_y26,ctg_pooled_eval,priority_vehicle,0.44,8,0.0
e1_0_y26,ctg_pooled_eval,three_wheeler,0.44,988,0.2338
e1_0_y26,ctg_pooled_eval,truck,0.44,668,0.244
e1_0_y26,dhaka_fold0_eval,auto_rickshaw,0.44,339,0.6401
e1_0_y26,dhaka_fold0_eval,bicycle,0.44,49,0.2245
e1_0_y26,dhaka_fold0_eval,bus,0.44,405,0.5778
e1_0_y26,dhaka_fold0_eval,car,0.44,735,0.8027
e1_0_y26,dhaka_fold0_eval,cart_vehicle,0.44,19,0.0
e1_0_y26,dhaka_fold0_eval,construction_vehicle,0.44,0,
e1_0_y26,dhaka_fold0_eval,motorbike,0.44,368,0.6277
e1_0_y26,dhaka_fold0_eval,person,0.44,1690,0.5976
e1_0_y26,dhaka_fold0_eval,priority_vehicle,0.44,9,0.0
e1_0_y26,dhaka_fold0_eval,three_wheeler,0.44,616,0.6218
e1_0_y26,dhaka_fold0_eval,truck,0.44,267,0.412
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,0.44,444,0.482
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,0.44,1,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,bus,0.44,139,0.1942
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,car,0.44,215,0.5209
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,0.44,9,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,0.44,6,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,0.44,95,0.3263
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,person,0.44,645,0.3085
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,priority_vehicle,0.44,2,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,three_wheeler,0.44,367,0.2153
e1_0_y26,ctg_robustness_holdout_bohoddarhat1_eval,truck,0.44,211,0.1232
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,auto_rickshaw,0.44,386,0.5233
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,bicycle,0.44,5,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,bus,0.44,14,0.3571
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,car,0.44,310,0.571
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,cart_vehicle,0.44,4,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,construction_vehicle,0.44,1,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,motorbike,0.44,129,0.3876
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,person,0.44,857,0.2625
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,priority_vehicle,0.44,6,0.0
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,three_wheeler,0.44,437,0.3318
e1_0_y26,ctg_robustness_holdout_bohoddarhat2_eval,truck,0.44,29,0.3793
e1_1_y26,ctg_pooled_eval,auto_rickshaw,0.45,1796,0.4777
e1_1_y26,ctg_pooled_eval,bicycle,0.45,19,0.0
e1_1_y26,ctg_pooled_eval,bus,0.45,411,0.3577
e1_1_y26,ctg_pooled_eval,car,0.45,1122,0.5143
e1_1_y26,ctg_pooled_eval,cart_vehicle,0.45,19,0.0
e1_1_y26,ctg_pooled_eval,construction_vehicle,0.45,11,0.0
e1_1_y26,ctg_pooled_eval,motorbike,0.45,401,0.4464
e1_1_y26,ctg_pooled_eval,person,0.45,2509,0.2798
e1_1_y26,ctg_pooled_eval,priority_vehicle,0.45,8,0.0
e1_1_y26,ctg_pooled_eval,three_wheeler,0.45,988,0.3401
e1_1_y26,ctg_pooled_eval,truck,0.45,668,0.2021
e1_1_y26,dhaka_fold1_eval,auto_rickshaw,0.45,285,0.6667
e1_1_y26,dhaka_fold1_eval,bicycle,0.45,56,0.1607
e1_1_y26,dhaka_fold1_eval,bus,0.45,235,0.5915
e1_1_y26,dhaka_fold1_eval,car,0.45,822,0.7956
e1_1_y26,dhaka_fold1_eval,cart_vehicle,0.45,6,0.0
e1_1_y26,dhaka_fold1_eval,construction_vehicle,0.45,3,0.0
e1_1_y26,dhaka_fold1_eval,motorbike,0.45,320,0.6656
e1_1_y26,dhaka_fold1_eval,person,0.45,991,0.6155
e1_1_y26,dhaka_fold1_eval,priority_vehicle,0.45,22,0.0
e1_1_y26,dhaka_fold1_eval,three_wheeler,0.45,385,0.7143
e1_1_y26,dhaka_fold1_eval,truck,0.45,403,0.5335
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,0.45,444,0.6059
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,0.45,1,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,bus,0.45,139,0.2302
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,car,0.45,215,0.5395
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,0.45,9,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,0.45,6,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,motorbike,0.45,95,0.3368
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,person,0.45,645,0.355
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,priority_vehicle,0.45,2,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,three_wheeler,0.45,367,0.3215
e1_1_y26,ctg_robustness_holdout_bohoddarhat1_eval,truck,0.45,211,0.0995
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,auto_rickshaw,0.45,386,0.6218
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,bicycle,0.45,5,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,bus,0.45,14,0.5714
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,car,0.45,310,0.5677
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,cart_vehicle,0.45,4,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,construction_vehicle,0.45,1,0.0
e1_1_y26,ctg_robustness_holdout_bohoddarhat2_eval,motorbike,0.45,129,0.3566
