run_id,target,class,threshold,n_gt,recall
e1_0,ctg_pooled_eval,auto_rickshaw,0.5,1796,0.4076
e1_0,ctg_pooled_eval,bicycle,0.5,19,0.0
e1_0,ctg_pooled_eval,bus,0.5,411,0.2871
e1_0,ctg_pooled_eval,car,0.5,1122,0.4269
e1_0,ctg_pooled_eval,cart_vehicle,0.5,19,0.0
e1_0,ctg_pooled_eval,construction_vehicle,0.5,11,0.0
e1_0,ctg_pooled_eval,motorbike,0.5,401,0.3242
e1_0,ctg_pooled_eval,person,0.5,2509,0.1913
e1_0,ctg_pooled_eval,priority_vehicle,0.5,8,0.0
e1_0,ctg_pooled_eval,three_wheeler,0.5,988,0.2348
e1_0,ctg_pooled_eval,truck,0.5,668,0.2246
e1_0,dhaka_fold0_eval,auto_rickshaw,0.5,339,0.6106
e1_0,dhaka_fold0_eval,bicycle,0.5,49,0.2245
e1_0,dhaka_fold0_eval,bus,0.5,405,0.5333
e1_0,dhaka_fold0_eval,car,0.5,735,0.785
e1_0,dhaka_fold0_eval,cart_vehicle,0.5,19,0.0
e1_0,dhaka_fold0_eval,construction_vehicle,0.5,0,
e1_0,dhaka_fold0_eval,motorbike,0.5,368,0.5842
e1_0,dhaka_fold0_eval,person,0.5,1690,0.5107
e1_0,dhaka_fold0_eval,priority_vehicle,0.5,9,0.0
e1_0,dhaka_fold0_eval,three_wheeler,0.5,616,0.6331
e1_0,dhaka_fold0_eval,truck,0.5,267,0.3258
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,auto_rickshaw,0.5,444,0.482
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,bicycle,0.5,1,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,bus,0.5,139,0.1223
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,car,0.5,215,0.5442
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,cart_vehicle,0.5,9,0.0
e1_0,ctg_robustness_holdout_bohoddarhat1_eval,construction_vehicle,0.5,6,0.0
