true\pred,auto_rickshaw,bus,car,motorbike,person,three_wheeler,truck,background
auto_rickshaw,1305,4,21,1,5,26,4,430
bus,14,114,9,0,0,3,46,225
car,53,5,639,5,0,11,11,398
motorbike,4,0,6,130,8,7,0,246
person,6,0,1,3,827,17,1,1654
three_wheeler,20,1,12,2,17,532,4,400
truck,43,28,23,0,0,6,231,337
background,176,36,173,64,450,185,77,0
