epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9718,1.5994,2.93101,0.00682,0.63296,0.39612,0.39854,0.25985,1.32991,1.99351,0.0079,0.00326241,0.00326241,0.0706383
2,52.1306,1.53214,1.98001,0.00626,0.80206,0.45628,0.52915,0.35223,1.29308,1.55047,0.00811,0.00653045,0.00653045,0.040573
3,64.2826,1.51548,1.68388,0.00615,0.84525,0.44422,0.5352,0.31464,1.45354,1.54975,0.00895,0.00973248,0.00973248,0.0104417
4,76.5673,1.5437,1.52482,0.0063,0.8528,0.43272,0.5225,0.32248,1.44057,1.45971,0.00968,0.009703,0.009703,0.009703
5,89.2562,1.56194,1.49384,0.00654,0.83324,0.47068,0.54357,0.34581,1.38367,1.32691,0.0086,0.009604,0.009604,0.009604
6,101.57,1.49854,1.43529,0.00661,0.81854,0.41293,0.52723,0.33239,1.44481,1.48612,0.00993,0.009505,0.009505,0.009505
7,114.026,1.53736,1.39363,0.0066,0.69733,0.60733,0.61141,0.37293,1.33748,1.1733,0.00835,0.009406,0.009406,0.009406
8,126.694,1.50848,1.33733,0.00645,0.87934,0.5351,0.62258,0.4061,1.31062,1.04801,0.00791,0.009307,0.009307,0.009307
9,139.376,1.49723,1.26557,0.00625,0.88817,0.5089,0.62748,0.40045,1.34941,1.03542,0.00857,0.009208,0.009208,0.009208
10,152.038,1.53073,1.28356,0.00633,0.80273,0.58737,0.64886,0.4078,1.28805,1.01531,0.00801,0.009109,0.009109,0.009109
11,164.507,1.49918,1.24953,0.00611,0.7567,0.5523,0.59124,0.38497,1.299,1.03568,0.00782,0.00901,0.00901,0.00901
12,176.833,1.45947,1.19497,0.00619,0.90266,0.57326,0.66388,0.44572,1.24171,0.93744,0.00731,0.008911,0.008911,0.008911
13,189.268,1.45491,1.15085,0.00564,0.81849,0.60369,0.68254,0.45112,1.27947,0.89991,0.00761,0.008812,0.008812,0.008812
14,201.692,1.43424,1.12689,0.00605,0.88179,0.58297,0.69082,0.46009,1.27473,0.8624,0.0079,0.008713,0.008713,0.008713
15,214.208,1.43442,1.13993,0.00588,0.90431,0.55725,0.7047,0.47545,1.25024,0.91838,0.00775,0.008614,0.008614,0.008614
16,226.691,1.44812,1.09976,0.00584,0.90808,0.58861,0.7541,0.5235,1.21894,0.94172,0.00744,0.008515,0.008515,0.008515
17,239.178,1.42811,1.10113,0.00575,0.90391,0.6355,0.78145,0.55048,1.19076,0.85001,0.00714,0.008416,0.008416,0.008416
18,251.94,1.431,1.08855,0.00571,0.90679,0.62454,0.75345,0.52003,1.25606,0.86113,0.00738,0.008317,0.008317,0.008317
19,264.247,1.4293,1.05713,0.00566,0.92588,0.59138,0.76172,0.54906,1.2363,0.77237,0.00733,0.008218,0.008218,0.008218
20,276.776,1.38771,1.04384,0.00574,0.88925,0.60336,0.73982,0.51833,1.20346,0.7698,0.00694,0.008119,0.008119,0.008119
21,289.256,1.41812,1.05407,0.0057,0.73346,0.73136,0.7953,0.55733,1.19785,0.8448,0.00711,0.00802,0.00802,0.00802
22,301.819,1.38618,1.01333,0.00567,0.64905,0.72622,0.7149,0.50224,1.22072,0.81933,0.00709,0.007921,0.007921,0.007921
23,314.311,1.40176,0.98158,0.00531,0.91999,0.61286,0.75318,0.53719,1.16305,0.74077,0.00693,0.007822,0.007822,0.007822
24,326.817,1.36717,0.97204,0.00561,0.86965,0.71847,0.8072,0.58754,1.15101,0.77529,0.00683,0.007723,0.007723,0.007723
25,339.315,1.35011,0.96717,0.00558,0.76017,0.77905,0.79749,0.5831,1.1299,0.75823,0.00665,0.007624,0.007624,0.007624
26,351.787,1.3529,0.94982,0.00537,0.82313,0.69068,0.77432,0.56653,1.13752,0.78483,0.00667,0.007525,0.007525,0.007525
27,364.26,1.36308,0.96254,0.00547,0.93279,0.6137,0.73802,0.50407,1.15157,0.72499,0.00662,0.007426,0.007426,0.007426
28,376.813,1.35001,0.93426,0.00541,0.79169,0.7878,0.81188,0.6028,1.07853,0.69088,0.00627,0.007327,0.007327,0.007327
29,389.361,1.36626,0.93021,0.00533,0.831,0.71386,0.79548,0.58376,1.10707,0.66958,0.00639,0.007228,0.007228,0.007228
30,401.836,1.34169,0.90393,0.00538,0.7451,0.76488,0.80793,0.59385,1.10935,0.66113,0.00665,0.007129,0.007129,0.007129
31,414.65,1.32836,0.90372,0.00504,0.84667,0.76361,0.80558,0.5864,1.12471,0.64551,0.00661,0.00703,0.00703,0.00703
32,427.154,1.32283,0.88518,0.00512,0.69992,0.78342,0.80379,0.57615,1.12725,0.68269,0.00661,0.006931,0.006931,0.006931
33,439.653,1.31731,0.86279,0.00534,0.85605,0.74613,0.80465,0.6019,1.0658,0.65782,0.0061,0.006832,0.006832,0.006832
34,452.211,1.31802,0.85692,0.00503,0.87531,0.78592,0.83086,0.6152,1.07061,0.59202,0.00609,0.006733,0.006733,0.006733
35,464.736,1.28112,0.8426,0.00509,0.84859,0.79196,0.85105,0.62884,1.01907,0.62245,0.00585,0.006634,0.006634,0.006634
36,477.26,1.29792,0.84447,0.00508,0.85549,0.78592,0.8432,0.62314,1.08739,0.62148,0.00641,0.006535,0.006535,0.006535
37,489.722,1.26029,0.83271,0.00504,0.81436,0.79716,0.85644,0.64899,1.05659,0.64163,0.00583,0.006436,0.006436,0.006436
