epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8233,1.55047,3.09665,0.00697,0.57012,0.2995,0.35854,0.23746,1.37314,2.39306,0.0091,0.00326241,0.00326241,0.0706383
2,46.7095,1.5236,1.98373,0.0064,0.73089,0.43949,0.49586,0.3118,1.44307,1.72878,0.00991,0.00653045,0.00653045,0.040573
3,58.7304,1.49557,1.66196,0.00667,0.61746,0.49208,0.48971,0.28878,1.52061,1.68167,0.01145,0.00973248,0.00973248,0.0104417
4,70.803,1.50757,1.54377,0.00672,0.68481,0.51644,0.53693,0.32148,1.43749,1.5375,0.01073,0.009703,0.009703,0.009703
5,83.164,1.57274,1.53382,0.00687,0.7136,0.39371,0.49027,0.30591,1.5515,1.73672,0.01169,0.009604,0.009604,0.009604
6,96.2609,1.53111,1.46289,0.00687,0.664,0.48791,0.50887,0.31051,1.47485,1.44321,0.01145,0.009505,0.009505,0.009505
7,109.383,1.5271,1.4213,0.00675,0.80028,0.53164,0.61759,0.38037,1.47026,1.37716,0.01057,0.009406,0.009406,0.009406
8,122.778,1.51154,1.36743,0.00669,0.77832,0.54897,0.61777,0.37745,1.45731,1.27873,0.01034,0.009307,0.009307,0.009307
9,135.697,1.47953,1.31253,0.00664,0.7483,0.55674,0.61527,0.38501,1.39111,1.18044,0.00931,0.009208,0.009208,0.009208
10,148.322,1.47156,1.25564,0.00635,0.81711,0.54422,0.63228,0.41097,1.43859,1.13943,0.01145,0.009109,0.009109,0.009109
11,160.913,1.49535,1.26801,0.00649,0.84577,0.55909,0.72764,0.45601,1.43786,1.1116,0.01078,0.00901,0.00901,0.00901
12,173.507,1.46977,1.23565,0.00649,0.77632,0.62079,0.71101,0.45958,1.43056,1.06488,0.01076,0.008911,0.008911,0.008911
13,186.195,1.47005,1.19663,0.00653,0.83575,0.66328,0.73362,0.4742,1.27094,1.07579,0.0086,0.008812,0.008812,0.008812
14,199.093,1.45135,1.20005,0.00639,0.78447,0.73399,0.75324,0.49421,1.28405,1.08603,0.00897,0.008713,0.008713,0.008713
15,211.862,1.46265,1.17063,0.0062,0.70065,0.67223,0.67814,0.45936,1.34394,1.09371,0.00957,0.008614,0.008614,0.008614
16,224.625,1.44009,1.14915,0.00631,0.85687,0.59795,0.72487,0.47763,1.31412,0.98284,0.00931,0.008515,0.008515,0.008515
17,237.308,1.46376,1.12844,0.00607,0.87569,0.68544,0.78405,0.52102,1.31784,0.88867,0.00897,0.008416,0.008416,0.008416
18,250.015,1.43572,1.11179,0.0061,0.91254,0.70191,0.78669,0.53702,1.29433,0.9477,0.00895,0.008317,0.008317,0.008317
19,262.961,1.41286,1.1026,0.00607,0.85681,0.68312,0.74976,0.52646,1.28913,0.94823,0.00886,0.008218,0.008218,0.008218
20,275.582,1.40638,1.07919,0.00599,0.87533,0.70823,0.78,0.54184,1.29108,1.00232,0.00848,0.008119,0.008119,0.008119
21,288.359,1.3976,1.04677,0.00592,0.81862,0.72404,0.7756,0.51541,1.31606,0.92463,0.00948,0.00802,0.00802,0.00802
22,301.124,1.40006,1.03593,0.00601,0.91144,0.74095,0.80031,0.54057,1.26137,0.93749,0.00831,0.007921,0.007921,0.007921
23,313.891,1.39794,1.02738,0.00604,0.89172,0.70523,0.79808,0.53284,1.26129,0.89136,0.0088,0.007822,0.007822,0.007822
24,326.591,1.40039,1.01775,0.00613,0.82801,0.70767,0.82335,0.56437,1.26827,0.88732,0.00884,0.007723,0.007723,0.007723
25,339.45,1.36976,1.01919,0.00586,0.88988,0.74808,0.84789,0.6068,1.24716,0.83979,0.00836,0.007624,0.007624,0.007624
26,352.244,1.35124,0.97131,0.00562,0.88817,0.67147,0.81774,0.57693,1.22637,0.79836,0.0078,0.007525,0.007525,0.007525
27,365.031,1.35371,0.97385,0.00584,0.85504,0.75984,0.80536,0.5518,1.23028,0.76835,0.00757,0.007426,0.007426,0.007426
28,377.638,1.35773,0.97758,0.00576,0.87898,0.75788,0.85986,0.58552,1.24211,0.82134,0.0085,0.007327,0.007327,0.007327
29,390.311,1.32998,0.92594,0.00571,0.89462,0.75322,0.85853,0.60006,1.27112,0.79973,0.00857,0.007228,0.007228,0.007228
30,403.005,1.3522,0.9462,0.00583,0.77669,0.83963,0.86327,0.6184,1.24352,0.75277,0.008,0.007129,0.007129,0.007129
31,415.783,1.33524,0.94348,0.00566,0.8007,0.84229,0.86075,0.61974,1.20399,0.7211,0.00804,0.00703,0.00703,0.00703
32,428.562,1.32362,0.93397,0.00552,0.93161,0.70573,0.84243,0.61432,1.20925,0.76855,0.00821,0.006931,0.006931,0.006931
33,441.55,1.29754,0.88634,0.00558,0.90537,0.70819,0.84626,0.60517,1.23645,0.787,0.00794,0.006832,0.006832,0.006832
