epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6592,1.39669,2.27281,1.20826,0.59298,0.35477,0.40016,0.27158,1.51935,2.29241,1.12577,0.00326241,0.00326241,0.0706383
2,20.7865,1.24379,1.26477,1.10251,0.83627,0.36516,0.47897,0.32522,1.42482,1.60982,1.08614,0.00653045,0.00653045,0.040573
3,29.9706,1.26857,1.20183,1.11156,0.69394,0.40568,0.49375,0.31189,1.38011,1.57983,1.09068,0.00973248,0.00973248,0.0104417
4,39.1726,1.23765,1.12979,1.09728,0.73084,0.45427,0.61923,0.42513,1.41948,1.34395,1.10564,0.009703,0.009703,0.009703
5,48.5289,1.29288,1.09278,1.12054,0.69823,0.47039,0.53989,0.33278,1.55418,1.46399,1.15987,0.009604,0.009604,0.009604
6,57.768,1.26137,1.04764,1.1193,0.74673,0.48405,0.62606,0.42119,1.41418,1.2675,1.1202,0.009505,0.009505,0.009505
7,67.0632,1.24778,1.04516,1.1169,0.77128,0.46539,0.62124,0.41034,1.44248,1.34227,1.09314,0.009406,0.009406,0.009406
8,76.4593,1.23718,0.97078,1.08549,0.83873,0.52748,0.60201,0.3986,1.37179,1.30206,1.04253,0.009307,0.009307,0.009307
9,85.8756,1.2245,0.97454,1.09659,0.78285,0.56545,0.70149,0.49826,1.49723,1.22809,1.1384,0.009208,0.009208,0.009208
10,95.5348,1.21168,0.95321,1.08764,0.85485,0.53107,0.63396,0.41979,1.32759,1.20024,1.0667,0.009109,0.009109,0.009109
11,105.227,1.20364,0.94872,1.08215,0.81253,0.55155,0.71995,0.51147,1.32389,0.95632,1.0397,0.00901,0.00901,0.00901
12,115.055,1.1745,0.90568,1.06642,0.87007,0.50145,0.61652,0.422,1.32131,1.23366,1.05205,0.008911,0.008911,0.008911
13,124.69,1.19539,0.91111,1.0688,0.60253,0.67955,0.69879,0.46722,1.31416,0.93185,1.05264,0.008812,0.008812,0.008812
14,134.255,1.17362,0.88485,1.06064,0.90963,0.53709,0.7156,0.48838,1.33643,1.00608,1.055,0.008713,0.008713,0.008713
15,143.735,1.17597,0.88295,1.06348,0.91551,0.5312,0.72391,0.49543,1.34605,0.99785,1.06839,0.008614,0.008614,0.008614
16,153.22,1.14705,0.84639,1.0536,0.90964,0.56815,0.74778,0.51878,1.32884,0.89824,1.05062,0.008515,0.008515,0.008515
17,162.765,1.16043,0.84167,1.05013,0.88612,0.58936,0.78521,0.54631,1.31407,0.91718,1.03287,0.008416,0.008416,0.008416
18,172.37,1.13326,0.82785,1.05158,0.94282,0.56785,0.76354,0.52717,1.3111,0.97548,1.05132,0.008317,0.008317,0.008317
19,181.947,1.11954,0.80466,1.03987,0.89627,0.62639,0.76343,0.53626,1.27071,0.8983,1.01825,0.008218,0.008218,0.008218
20,191.552,1.11574,0.82153,1.04602,0.90809,0.57608,0.73382,0.50936,1.20005,0.86912,1.0022,0.008119,0.008119,0.008119
21,201.16,1.12087,0.7965,1.0406,0.85306,0.7684,0.8259,0.57666,1.21748,0.77517,0.99062,0.00802,0.00802,0.00802
22,210.726,1.11808,0.77984,1.03128,0.91067,0.6974,0.83074,0.59383,1.27284,0.81366,1.01088,0.007921,0.007921,0.007921
23,220.239,1.08865,0.76512,1.02058,0.93935,0.60224,0.76211,0.56163,1.26674,0.85378,1.00877,0.007822,0.007822,0.007822
24,229.722,1.1044,0.76973,1.04084,0.92601,0.71549,0.81426,0.59771,1.24942,0.81219,1.01327,0.007723,0.007723,0.007723
25,239.242,1.06631,0.74536,1.01707,0.88485,0.73447,0.81401,0.59922,1.18462,0.77213,0.99769,0.007624,0.007624,0.007624
26,248.824,1.06271,0.73115,1.01128,0.89256,0.76072,0.83668,0.62313,1.143,0.71731,0.97019,0.007525,0.007525,0.007525
27,258.431,1.06714,0.735,1.01538,0.91765,0.77243,0.83999,0.63786,1.18631,0.70077,0.98054,0.007426,0.007426,0.007426
28,268.033,1.06129,0.71116,1.0161,0.9057,0.73868,0.83747,0.62334,1.21189,0.71561,0.97992,0.007327,0.007327,0.007327
29,277.566,1.05073,0.70431,1.0139,0.89011,0.80762,0.84277,0.62402,1.09419,0.64049,0.94184,0.007228,0.007228,0.007228
30,287.138,1.03165,0.69734,1.00646,0.90966,0.68706,0.80603,0.60898,1.0682,0.63799,0.92722,0.007129,0.007129,0.007129
31,296.717,1.04049,0.69917,0.9993,0.92555,0.68116,0.80757,0.60574,1.02528,0.62002,0.91573,0.00703,0.00703,0.00703
32,306.49,1.02398,0.69025,0.99925,0.93684,0.67815,0.81526,0.61113,1.03104,0.64683,0.92062,0.006931,0.006931,0.006931
33,315.993,1.009,0.66805,0.99685,0.91634,0.76714,0.84385,0.63985,1.06603,0.65059,0.92116,0.006832,0.006832,0.006832
34,325.558,1.00904,0.6733,0.98651,0.91651,0.71017,0.82458,0.62209,1.07233,0.63277,0.922,0.006733,0.006733,0.006733
35,335.064,0.99103,0.66298,0.97744,0.91641,0.79976,0.8455,0.6499,1.09235,0.64276,0.93104,0.006634,0.006634,0.006634
36,344.539,1.00416,0.6625,0.98355,0.93283,0.77822,0.85441,0.64439,1.05487,0.59808,0.91978,0.006535,0.006535,0.006535
37,354.135,0.98672,0.64421,0.98608,0.91029,0.79619,0.84564,0.62816,1.02954,0.61368,0.91428,0.006436,0.006436,0.006436
38,363.696,0.96971,0.64052,0.9777,0.92049,0.7864,0.84606,0.65217,0.96321,0.56876,0.88946,0.006337,0.006337,0.006337
39,373.254,0.99633,0.65513,0.99459,0.9417,0.77711,0.84616,0.65659,1.00162,0.56471,0.91165,0.006238,0.006238,0.006238
40,382.838,0.97143,0.61967,0.9754,0.91644,0.80824,0.84768,0.63598,0.96825,0.55883,0.891,0.006139,0.006139,0.006139
41,392.353,0.93952,0.60486,0.96388,0.9485,0.79429,0.86094,0.65561,0.97496,0.58773,0.88688,0.00604,0.00604,0.00604
42,401.799,0.96959,0.62482,0.96361,0.88814,0.83857,0.90546,0.69057,0.92753,0.54931,0.88458,0.005941,0.005941,0.005941
43,411.39,0.95786,0.61678,0.96612,0.91019,0.80292,0.86486,0.67287,0.96394,0.54493,0.9078,0.005842,0.005842,0.005842
44,420.937,0.9306,0.59978,0.96595,0.94742,0.80506,0.90825,0.69821,0.91041,0.5571,0.88026,0.005743,0.005743,0.005743
45,430.5,0.93021,0.60042,0.95989,0.92635,0.80504,0.90523,0.69632,0.92664,0.5385,0.88223,0.005644,0.005644,0.005644
46,440.001,0.93731,0.59086,0.96694,0.94045,0.79206,0.9063,0.70927,0.92813,0.52818,0.8798,0.005545,0.005545,0.005545
47,449.558,0.9236,0.58712,0.95001,0.91506,0.81229,0.91657,0.70154,0.97357,0.50755,0.88393,0.005446,0.005446,0.005446
48,459.079,0.92899,0.59147,0.95433,0.78081,0.94211,0.95702,0.73685,0.88535,0.51964,0.86495,0.005347,0.005347,0.005347
49,468.679,0.90125,0.56361,0.95028,0.88135,0.94011,0.95487,0.75176,0.90036,0.51947,0.8631,0.005248,0.005248,0.005248
50,478.243,0.90497,0.57416,0.94864,0.93473,0.81607,0.90956,0.70013,0.88959,0.50603,0.86717,0.005149,0.005149,0.005149
51,487.778,0.88405,0.55701,0.94098,0.84227,0.94001,0.95626,0.70478,0.95057,0.5303,0.91011,0.00505,0.00505,0.00505
52,497.272,0.86663,0.55301,0.93839,0.87107,0.93812,0.9578,0.73295,0.91364,0.49748,0.87786,0.004951,0.004951,0.004951
53,506.748,0.89927,0.56256,0.93827,0.91209,0.92021,0.95733,0.75147,0.85305,0.48664,0.85616,0.004852,0.004852,0.004852
54,516.23,0.85546,0.53873,0.93616,0.87775,0.93467,0.96194,0.75852,0.86771,0.47531,0.85633,0.004753,0.004753,0.004753
55,525.745,0.85943,0.5453,0.93926,0.93548,0.91375,0.95963,0.75957,0.85314,0.47927,0.8535,0.004654,0.004654,0.004654
56,535.334,0.85693,0.52968,0.92949,0.87248,0.93889,0.95801,0.75831,0.8698,0.45857,0.86423,0.004555,0.004555,0.004555
57,544.78,0.85817,0.54204,0.93117,0.94849,0.88233,0.95299,0.75499,0.82052,0.45772,0.85253,0.004456,0.004456,0.004456
58,554.276,0.86945,0.54421,0.93652,0.94225,0.91484,0.95891,0.77048,0.83296,0.47106,0.85165,0.004357,0.004357,0.004357
59,563.806,0.84419,0.52337,0.93648,0.93479,0.91229,0.95924,0.76001,0.81944,0.44265,0.84102,0.004258,0.004258,0.004258
60,573.291,0.83279,0.52296,0.93216,0.94672,0.88967,0.95928,0.75504,0.80458,0.44273,0.84331,0.004159,0.004159,0.004159
61,582.811,0.83927,0.51674,0.92347,0.93291,0.9181,0.96088,0.78418,0.81264,0.4519,0.84199,0.00406,0.00406,0.00406
62,592.381,0.8536,0.52746,0.9185,0.9247,0.93197,0.96481,0.77776,0.79634,0.45452,0.83561,0.003961,0.003961,0.003961
63,601.891,0.8267,0.51761,0.92245,0.94671,0.91154,0.96759,0.77922,0.7665,0.44333,0.83454,0.003862,0.003862,0.003862
64,611.371,0.81119,0.50557,0.91994,0.86562,0.94415,0.96258,0.77836,0.73049,0.43945,0.82347,0.003763,0.003763,0.003763
65,620.9,0.81031,0.49617,0.9149,0.85774,0.951,0.96726,0.77431,0.77787,0.42654,0.83785,0.003664,0.003664,0.003664
66,630.362,0.80444,0.50603,0.9199,0.95183,0.90776,0.96662,0.75331,0.82269,0.42608,0.83627,0.003565,0.003565,0.003565
67,639.926,0.79433,0.48802,0.9114,0.95148,0.92527,0.96765,0.7716,0.787,0.40237,0.82855,0.003466,0.003466,0.003466
68,649.482,0.79651,0.49112,0.91309,0.94948,0.90726,0.96557,0.78195,0.82982,0.42405,0.83715,0.003367,0.003367,0.003367
69,658.951,0.77315,0.48083,0.9116,0.90587,0.94502,0.96558,0.76309,0.77226,0.41181,0.82675,0.003268,0.003268,0.003268
70,668.499,0.80281,0.49882,0.91613,0.96098,0.93296,0.96478,0.79615,0.76807,0.39881,0.82745,0.003169,0.003169,0.003169
71,678.283,0.78269,0.47389,0.89932,0.95619,0.92817,0.96755,0.7865,0.74727,0.4004,0.82113,0.00307,0.00307,0.00307
72,687.749,0.7665,0.46739,0.90008,0.95587,0.92234,0.96728,0.80239,0.70533,0.38876,0.81116,0.002971,0.002971,0.002971
73,697.276,0.77246,0.47422,0.89895,0.93308,0.93944,0.96698,0.7932,0.73588,0.38252,0.82069,0.002872,0.002872,0.002872
74,706.769,0.77771,0.47383,0.90711,0.93951,0.93195,0.96874,0.79193,0.73778,0.39495,0.81899,0.002773,0.002773,0.002773
