epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5231,1.54573,3.1534,0.0067,0.64261,0.36448,0.36411,0.2289,1.65487,3.17788,0.01039,0.00326241,0.00326241,0.0706383
2,46.0404,1.46439,1.94327,0.00597,0.83539,0.42042,0.49483,0.30062,1.75567,2.39408,0.01041,0.00653045,0.00653045,0.040573
3,57.7063,1.49064,1.63383,0.0062,0.88182,0.43393,0.56162,0.37412,1.67312,1.94586,0.01001,0.00973248,0.00973248,0.0104417
4,69.4,1.45267,1.45003,0.00599,0.83273,0.46208,0.55225,0.34468,1.58811,1.92255,0.00965,0.009703,0.009703,0.009703
5,81.0871,1.50913,1.44534,0.00632,0.81435,0.48772,0.54359,0.34829,1.61544,1.68108,0.01026,0.009604,0.009604,0.009604
6,93.3027,1.45102,1.36106,0.00617,0.83352,0.47864,0.60347,0.3852,1.52731,1.59418,0.00911,0.009505,0.009505,0.009505
7,105.238,1.44907,1.31905,0.00641,0.87297,0.46104,0.61606,0.39623,1.60226,1.63404,0.00916,0.009406,0.009406,0.009406
8,117.264,1.42351,1.22024,0.00592,0.87985,0.48752,0.65349,0.43414,1.65889,1.37577,0.00938,0.009307,0.009307,0.009307
9,129.261,1.44215,1.22339,0.00622,0.89142,0.49607,0.65325,0.43816,1.6346,1.44108,0.00916,0.009208,0.009208,0.009208
10,141.46,1.45052,1.1994,0.00605,0.88354,0.56668,0.67684,0.46378,1.5757,1.31504,0.00926,0.009109,0.009109,0.009109
11,153.604,1.43677,1.19226,0.00606,0.93294,0.49639,0.77023,0.52219,1.58739,1.3411,0.00964,0.00901,0.00901,0.00901
12,165.671,1.39086,1.11975,0.00587,0.84769,0.55219,0.70897,0.50214,1.5431,1.37069,0.00872,0.008911,0.008911,0.008911
13,177.63,1.41304,1.11468,0.00574,0.90021,0.55448,0.73525,0.51627,1.42307,1.45088,0.00839,0.008812,0.008812,0.008812
14,189.637,1.40294,1.09188,0.00567,0.81011,0.65694,0.79873,0.5549,1.52802,1.28244,0.00904,0.008713,0.008713,0.008713
15,201.764,1.39849,1.08624,0.00556,0.91822,0.59644,0.80188,0.55411,1.49368,1.18252,0.00868,0.008614,0.008614,0.008614
16,213.866,1.37278,1.02603,0.00588,0.93542,0.64658,0.82544,0.57064,1.55126,1.12619,0.00905,0.008515,0.008515,0.008515
17,226.074,1.39181,1.0367,0.00543,0.88132,0.55641,0.76884,0.53576,1.59081,1.26648,0.00916,0.008416,0.008416,0.008416
18,238.093,1.36515,1.04137,0.00573,0.89694,0.676,0.82684,0.57979,1.53282,1.03937,0.00858,0.008317,0.008317,0.008317
19,250.376,1.35666,1.00081,0.00552,0.73829,0.80882,0.80559,0.54931,1.50282,1.13364,0.00881,0.008218,0.008218,0.008218
20,262.367,1.33936,1.01,0.00552,0.85077,0.71396,0.81192,0.54876,1.44095,1.03086,0.00845,0.008119,0.008119,0.008119
21,274.366,1.34879,0.97905,0.00557,0.89832,0.78467,0.83514,0.58294,1.48711,1.0063,0.00825,0.00802,0.00802,0.00802
22,286.399,1.3597,0.94771,0.00542,0.86426,0.78559,0.82322,0.58082,1.46721,1.03052,0.00809,0.007921,0.007921,0.007921
23,298.379,1.34358,0.97245,0.00539,0.94139,0.67482,0.83867,0.59186,1.4772,0.95947,0.00854,0.007822,0.007822,0.007822
24,310.417,1.33489,0.9534,0.00556,0.75439,0.82285,0.83568,0.62173,1.38612,1.07414,0.00832,0.007723,0.007723,0.007723
25,322.516,1.31304,0.92246,0.00525,0.92524,0.77127,0.84057,0.59077,1.41387,1.04511,0.00819,0.007624,0.007624,0.007624
26,334.498,1.31037,0.92142,0.00519,0.93683,0.76385,0.83906,0.59672,1.43755,0.98343,0.00792,0.007525,0.007525,0.007525
27,346.518,1.32485,0.90991,0.00537,0.90494,0.77483,0.84238,0.59846,1.39925,0.94808,0.00788,0.007426,0.007426,0.007426
28,358.558,1.30593,0.88704,0.00531,0.92283,0.76706,0.84358,0.60255,1.31604,0.86088,0.00764,0.007327,0.007327,0.007327
29,370.51,1.30602,0.87576,0.00537,0.94052,0.76263,0.84876,0.611,1.39004,1.00712,0.00789,0.007228,0.007228,0.007228
30,382.478,1.2808,0.85688,0.0052,0.91257,0.77687,0.85082,0.62819,1.32824,0.97556,0.0073,0.007129,0.007129,0.007129
31,394.614,1.29913,0.85885,0.00507,0.90221,0.795,0.85732,0.62295,1.34486,0.9172,0.00736,0.00703,0.00703,0.00703
32,406.663,1.27607,0.85739,0.00503,0.9401,0.79036,0.86978,0.63183,1.39942,0.81354,0.00781,0.006931,0.006931,0.006931
33,419.002,1.25967,0.837,0.0051,0.94914,0.76887,0.87406,0.61604,1.29556,0.82896,0.00721,0.006832,0.006832,0.006832
34,431.095,1.26989,0.84641,0.00474,0.926,0.78944,0.86976,0.63289,1.27362,0.89686,0.00732,0.006733,0.006733,0.006733
35,443.271,1.26396,0.82677,0.00492,0.93627,0.80616,0.87673,0.64412,1.34123,0.86954,0.00768,0.006634,0.006634,0.006634
36,455.382,1.26241,0.81183,0.0049,0.938,0.80027,0.88923,0.64118,1.24606,0.73916,0.00666,0.006535,0.006535,0.006535
37,467.436,1.23508,0.77767,0.00495,0.92254,0.80647,0.8647,0.64796,1.23854,0.75847,0.00654,0.006436,0.006436,0.006436
38,479.609,1.2451,0.78886,0.00486,0.91522,0.81036,0.86421,0.63887,1.27251,0.74006,0.00676,0.006337,0.006337,0.006337
39,491.641,1.24621,0.79877,0.005,0.92953,0.78956,0.86475,0.65408,1.25679,0.81011,0.00725,0.006238,0.006238,0.006238
40,503.639,1.22882,0.75608,0.005,0.92945,0.80238,0.87837,0.64653,1.31238,0.76362,0.00738,0.006139,0.006139,0.006139
41,515.655,1.20443,0.75153,0.00477,0.92203,0.79773,0.95788,0.67612,1.25731,0.8255,0.00716,0.00604,0.00604,0.00604
42,527.7,1.26065,0.78348,0.00482,0.94238,0.78774,0.95271,0.69915,1.26723,0.72214,0.00686,0.005941,0.005941,0.005941
43,539.762,1.21215,0.75167,0.00469,0.94839,0.81528,0.90736,0.66226,1.28311,0.65877,0.0068,0.005842,0.005842,0.005842
44,551.85,1.20578,0.74528,0.00481,0.88359,0.92758,0.96395,0.68402,1.30745,0.65888,0.00694,0.005743,0.005743,0.005743
45,564.22,1.19427,0.74423,0.0046,0.93929,0.80631,0.96196,0.69506,1.3105,0.64938,0.00685,0.005644,0.005644,0.005644
46,576.251,1.20033,0.71916,0.0047,0.8809,0.92699,0.95902,0.70655,1.13206,0.67068,0.00551,0.005545,0.005545,0.005545
47,588.282,1.19793,0.72835,0.00454,0.88204,0.92591,0.96463,0.71093,1.14163,0.70306,0.0059,0.005446,0.005446,0.005446
48,600.309,1.20435,0.73959,0.00446,0.8339,0.93445,0.9525,0.70734,1.1423,0.65399,0.00568,0.005347,0.005347,0.005347
49,612.39,1.16979,0.68275,0.0045,0.91669,0.91465,0.95788,0.69059,1.17815,0.55989,0.00608,0.005248,0.005248,0.005248
50,624.408,1.16741,0.70684,0.00441,0.87371,0.91542,0.95864,0.6989,1.205,0.61914,0.00632,0.005149,0.005149,0.005149
51,636.462,1.14098,0.68096,0.00447,0.90316,0.93406,0.97179,0.69357,1.25005,0.55645,0.00612,0.00505,0.00505,0.00505
52,648.49,1.13258,0.67344,0.00438,0.9001,0.9006,0.96438,0.69955,1.24449,0.5782,0.00613,0.004951,0.004951,0.004951
