epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,447.151,1.10834,0.67519,1.01866,0.82943,0.92448,0.94341,0.69849,1.09332,0.60443,0.96043,0.005743,0.005743,0.005743
45,457.146,1.11532,0.68634,1.02482,0.84829,0.91874,0.94834,0.68155,1.09758,0.61604,0.96713,0.005644,0.005644,0.005644
46,466.962,1.11742,0.67508,1.01511,0.81135,0.91413,0.93962,0.67862,1.09326,0.60696,0.96144,0.005545,0.005545,0.005545
47,476.703,1.08229,0.65112,1.01112,0.9287,0.87994,0.94173,0.67379,1.06201,0.58112,0.9501,0.005446,0.005446,0.005446
48,486.54,1.09214,0.65268,1.01159,0.90694,0.87579,0.94787,0.68167,1.07499,0.58637,0.94426,0.005347,0.005347,0.005347
49,496.346,1.08545,0.65551,1.0096,0.87986,0.91228,0.9449,0.68938,1.06216,0.5848,0.94708,0.005248,0.005248,0.005248
50,506.413,1.06901,0.65653,1.00769,0.90497,0.88903,0.94724,0.70286,1.0453,0.56436,0.94359,0.005149,0.005149,0.005149
51,516.529,1.06716,0.63502,0.99526,0.89437,0.87906,0.94937,0.71078,1.03608,0.56595,0.93651,0.00505,0.00505,0.00505
52,526.649,1.04851,0.63922,1.00107,0.82832,0.88151,0.94537,0.72264,1.01053,0.56188,0.9362,0.004951,0.004951,0.004951
53,536.874,1.04744,0.62666,0.99551,0.90343,0.83427,0.94338,0.70539,1.0435,0.5735,0.93276,0.004852,0.004852,0.004852
54,546.959,1.0431,0.61893,0.98646,0.90093,0.90353,0.94945,0.71117,1.0364,0.54751,0.93473,0.004753,0.004753,0.004753
55,556.987,1.02856,0.60965,0.98371,0.90903,0.88296,0.95375,0.68961,1.01511,0.54959,0.93099,0.004654,0.004654,0.004654
56,566.994,1.03716,0.61201,0.98527,0.88975,0.89017,0.95317,0.72489,0.99985,0.53678,0.92565,0.004555,0.004555,0.004555
57,577.276,1.02975,0.61867,0.99327,0.89766,0.86198,0.94904,0.72484,1.00707,0.54928,0.92946,0.004456,0.004456,0.004456
58,587.223,1.02524,0.60587,0.98813,0.88942,0.89778,0.95393,0.74858,0.97972,0.54183,0.91493,0.004357,0.004357,0.004357
59,597.446,1.00834,0.59822,0.97848,0.89926,0.89224,0.95542,0.71023,0.96848,0.52305,0.91402,0.004258,0.004258,0.004258
60,607.537,1.00111,0.5892,0.97748,0.91131,0.89582,0.95705,0.70701,0.9148,0.50228,0.9002,0.004159,0.004159,0.004159
61,617.67,0.97177,0.58128,0.96982,0.92269,0.88782,0.9572,0.74013,0.96216,0.51069,0.90941,0.00406,0.00406,0.00406
62,627.785,0.98276,0.57534,0.96371,0.92458,0.89049,0.96021,0.73708,0.94518,0.49965,0.9024,0.003961,0.003961,0.003961
63,638.046,0.98939,0.5768,0.97119,0.89458,0.92597,0.96032,0.76531,0.92354,0.48928,0.89564,0.003862,0.003862,0.003862
64,648.071,0.96923,0.56498,0.96493,0.91793,0.90939,0.96142,0.77061,0.91196,0.48742,0.89664,0.003763,0.003763,0.003763
65,658.258,0.97769,0.56961,0.96779,0.93733,0.90092,0.9669,0.77335,0.89749,0.47968,0.89277,0.003664,0.003664,0.003664
66,668.484,0.96509,0.55844,0.95989,0.93013,0.90483,0.96792,0.78031,0.90675,0.48643,0.89348,0.003565,0.003565,0.003565
67,678.676,0.95255,0.55714,0.95614,0.94738,0.89613,0.96807,0.78234,0.9294,0.49058,0.9011,0.003466,0.003466,0.003466
68,688.946,0.95974,0.55947,0.96329,0.921,0.92007,0.96872,0.79975,0.91071,0.49293,0.89495,0.003367,0.003367,0.003367
69,699.341,0.93469,0.54613,0.95291,0.93175,0.89342,0.9633,0.77716,0.88709,0.49248,0.88601,0.003268,0.003268,0.003268
70,709.574,0.93471,0.5486,0.95581,0.93853,0.92768,0.96744,0.76881,0.88227,0.46595,0.88366,0.003169,0.003169,0.003169
71,719.623,0.94526,0.55379,0.95432,0.92266,0.91889,0.96622,0.76738,0.89977,0.47411,0.88715,0.00307,0.00307,0.00307
72,729.935,0.92093,0.53158,0.94214,0.91524,0.89244,0.96359,0.76708,0.87248,0.46414,0.88,0.002971,0.002971,0.002971
