epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8023,1.8422,3.30455,0.00791,0.70859,0.34242,0.40888,0.24589,1.5556,2.5024,0.00965,0.00326241,0.00326241,0.0706383
2,47.5423,1.78668,2.18933,0.00706,0.70207,0.38827,0.44312,0.27616,1.57394,1.98434,0.00957,0.00653045,0.00653045,0.040573
3,59.3536,1.72394,1.8784,0.00725,0.76787,0.44011,0.5183,0.30974,1.54822,1.72692,0.00989,0.00973248,0.00973248,0.0104417
4,71.2898,1.73334,1.74317,0.00711,0.75808,0.40545,0.4917,0.29887,1.60695,1.78325,0.01014,0.009703,0.009703,0.009703
5,83.2385,1.76991,1.73067,0.00716,0.84328,0.46802,0.55139,0.30395,1.62655,1.58196,0.0102,0.009604,0.009604,0.009604
6,95.6644,1.77218,1.63128,0.0073,0.82387,0.47997,0.60744,0.35985,1.58533,1.45979,0.00971,0.009505,0.009505,0.009505
7,107.925,1.7363,1.58597,0.00742,0.73849,0.49229,0.55415,0.32572,1.62142,1.62992,0.00989,0.009406,0.009406,0.009406
8,120.234,1.73856,1.54389,0.00688,0.88139,0.51759,0.63539,0.37795,1.47966,1.38347,0.00883,0.009307,0.009307,0.009307
9,132.857,1.69729,1.43699,0.007,0.82994,0.55864,0.67619,0.40984,1.47079,1.29425,0.00865,0.009208,0.009208,0.009208
10,145.337,1.71973,1.44978,0.00696,0.7979,0.55792,0.67979,0.40521,1.49723,1.21085,0.00896,0.009109,0.009109,0.009109
11,157.52,1.66369,1.40701,0.00696,0.78043,0.63134,0.72337,0.42442,1.47257,1.22213,0.00864,0.00901,0.00901,0.00901
12,169.65,1.7206,1.41883,0.0068,0.81934,0.62285,0.73814,0.4583,1.47098,1.18726,0.00848,0.008911,0.008911,0.008911
13,181.84,1.69419,1.35937,0.00681,0.7204,0.73138,0.77559,0.47415,1.43546,1.0358,0.00839,0.008812,0.008812,0.008812
14,194.041,1.67427,1.34479,0.0067,0.89069,0.62034,0.74726,0.45815,1.46699,1.0743,0.00876,0.008713,0.008713,0.008713
15,206.417,1.65653,1.32119,0.00664,0.82176,0.62332,0.78343,0.48294,1.41363,1.03936,0.00824,0.008614,0.008614,0.008614
16,218.839,1.66689,1.27558,0.00681,0.82164,0.66911,0.75766,0.48498,1.4011,1.01355,0.00803,0.008515,0.008515,0.008515
17,231.277,1.64494,1.26953,0.00648,0.85559,0.64621,0.78636,0.47736,1.38787,1.0153,0.00801,0.008416,0.008416,0.008416
18,243.546,1.65903,1.26473,0.0066,0.82563,0.68966,0.76167,0.48256,1.43475,0.96804,0.00843,0.008317,0.008317,0.008317
19,255.982,1.64038,1.22819,0.00647,0.80881,0.67544,0.79228,0.47952,1.45773,0.98158,0.00835,0.008218,0.008218,0.008218
20,268.095,1.61633,1.23743,0.00658,0.84098,0.65205,0.70774,0.45496,1.38165,0.96596,0.00808,0.008119,0.008119,0.008119
21,280.386,1.62302,1.22937,0.00641,0.83696,0.68829,0.7813,0.53068,1.35853,0.94488,0.00765,0.00802,0.00802,0.00802
22,292.822,1.60717,1.17783,0.00637,0.86236,0.73507,0.81928,0.54238,1.44284,0.96406,0.00832,0.007921,0.007921,0.007921
23,305.119,1.60064,1.15111,0.00627,0.85905,0.68475,0.79587,0.53033,1.41727,0.89414,0.00805,0.007822,0.007822,0.007822
24,317.479,1.60399,1.16982,0.00627,0.81026,0.69324,0.78784,0.5356,1.39425,0.89745,0.00811,0.007723,0.007723,0.007723
