epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,587.816,1.58896,0.96384,0.00513,0.92262,0.73457,0.85271,0.56214,1.48478,0.7591,0.00707,0.005743,0.005743,0.005743
45,600.644,1.61333,0.96665,0.00518,0.88986,0.74473,0.86351,0.56387,1.49638,0.79203,0.00701,0.005644,0.005644,0.005644
46,613.461,1.58184,0.94251,0.00504,0.84199,0.87292,0.91623,0.62504,1.47918,0.77349,0.00701,0.005545,0.005545,0.005545
47,626.533,1.59678,0.95434,0.00507,0.74713,0.93127,0.92897,0.60742,1.46335,0.79713,0.00693,0.005446,0.005446,0.005446
48,639.376,1.57446,0.90685,0.00511,0.91145,0.77338,0.84546,0.55782,1.46879,0.73756,0.00691,0.005347,0.005347,0.005347
49,652.248,1.58139,0.93391,0.00505,0.82009,0.91311,0.92874,0.62119,1.4618,0.76711,0.00708,0.005248,0.005248,0.005248
50,665.161,1.57961,0.93493,0.00498,0.92315,0.85937,0.92203,0.61176,1.41263,0.76847,0.00658,0.005149,0.005149,0.005149
51,678.11,1.56013,0.89765,0.00496,0.92475,0.79118,0.93705,0.63772,1.43746,0.70313,0.00678,0.00505,0.00505,0.00505
52,691.267,1.55134,0.90012,0.00505,0.90201,0.7706,0.93141,0.63551,1.44627,0.7423,0.00683,0.004951,0.004951,0.004951
53,704.213,1.55857,0.89376,0.00479,0.94164,0.72378,0.83818,0.56518,1.42501,0.77506,0.00669,0.004852,0.004852,0.004852
54,717.148,1.528,0.86243,0.00481,0.73536,0.89348,0.88695,0.5957,1.42947,0.70699,0.00664,0.004753,0.004753,0.004753
55,730.173,1.52582,0.86282,0.00482,0.92947,0.85686,0.92649,0.64477,1.41192,0.70463,0.00659,0.004654,0.004654,0.004654
56,743.085,1.52935,0.86194,0.00475,0.901,0.87804,0.93193,0.6749,1.38899,0.70099,0.00633,0.004555,0.004555,0.004555
57,755.947,1.51487,0.86309,0.00477,0.85969,0.91989,0.93311,0.66937,1.40258,0.6956,0.00651,0.004456,0.004456,0.004456
58,768.796,1.51736,0.85971,0.00469,0.75392,0.9352,0.93113,0.65087,1.36006,0.65865,0.00639,0.004357,0.004357,0.004357
59,781.603,1.49995,0.83729,0.00474,0.91215,0.87334,0.94042,0.6626,1.34684,0.67666,0.00635,0.004258,0.004258,0.004258
60,794.79,1.47427,0.81233,0.00469,0.90646,0.87772,0.93932,0.6389,1.37532,0.64506,0.0063,0.004159,0.004159,0.004159
61,807.724,1.51756,0.83315,0.00478,0.91482,0.87521,0.93344,0.66428,1.37733,0.63714,0.00642,0.00406,0.00406,0.00406
62,820.552,1.48096,0.81654,0.00456,0.90974,0.91284,0.94202,0.68959,1.39421,0.6146,0.00652,0.003961,0.003961,0.003961
63,833.317,1.47178,0.80432,0.00462,0.92154,0.88679,0.94157,0.69398,1.34161,0.64883,0.00615,0.003862,0.003862,0.003862
64,846.101,1.49496,0.81305,0.00446,0.8838,0.89904,0.94312,0.70373,1.32372,0.62864,0.00603,0.003763,0.003763,0.003763
65,858.85,1.47372,0.8145,0.00448,0.90718,0.89688,0.95001,0.70189,1.31334,0.6448,0.00601,0.003664,0.003664,0.003664
66,871.704,1.44211,0.77809,0.00447,0.91745,0.89528,0.9493,0.70558,1.28106,0.61851,0.00578,0.003565,0.003565,0.003565
67,884.599,1.48034,0.79878,0.00448,0.89237,0.91973,0.94763,0.69062,1.30482,0.62295,0.00593,0.003466,0.003466,0.003466
68,897.455,1.45107,0.77636,0.00449,0.74911,0.93912,0.94391,0.68799,1.30775,0.62691,0.00588,0.003367,0.003367,0.003367
