epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5119,1.72828,2.45729,1.29507,0.68115,0.37187,0.40237,0.23487,1.57823,1.64115,1.23663,0.00326241,0.00326241,0.0706383
2,20.3621,1.52662,1.4012,1.17951,0.78277,0.37445,0.46465,0.26976,1.48207,1.40712,1.16669,0.00653045,0.00653045,0.040573
3,29.4219,1.48284,1.31562,1.14917,0.81903,0.42984,0.5192,0.31442,1.43701,1.27281,1.13875,0.00973248,0.00973248,0.0104417
4,38.4445,1.49446,1.26167,1.15196,0.7723,0.47582,0.54348,0.32764,1.44429,1.3137,1.13384,0.009703,0.009703,0.009703
5,47.6312,1.48458,1.18465,1.14526,0.83687,0.47709,0.55552,0.32236,1.49607,1.16187,1.15509,0.009604,0.009604,0.009604
6,56.561,1.53049,1.18469,1.16606,0.82168,0.48272,0.57093,0.33037,1.44592,1.20527,1.13486,0.009505,0.009505,0.009505
7,65.747,1.48991,1.12665,1.15523,0.76787,0.53317,0.58469,0.3529,1.42317,1.07825,1.12118,0.009406,0.009406,0.009406
8,74.8664,1.50691,1.1467,1.14161,0.825,0.54806,0.62195,0.3763,1.40727,1.10068,1.12068,0.009307,0.009307,0.009307
9,84.1554,1.47049,1.0759,1.14802,0.83775,0.5032,0.57708,0.35365,1.41795,1.07817,1.13624,0.009208,0.009208,0.009208
10,93.4484,1.45348,1.05996,1.14754,0.83143,0.56745,0.63476,0.38869,1.39469,1.03179,1.11905,0.009109,0.009109,0.009109
11,102.783,1.42973,1.03539,1.13928,0.85244,0.59294,0.66495,0.42017,1.33337,0.90237,1.1126,0.00901,0.00901,0.00901
12,112.123,1.47026,1.03666,1.15165,0.85891,0.58373,0.66673,0.41996,1.32998,0.90061,1.10969,0.008911,0.008911,0.008911
13,121.565,1.43954,1.01467,1.12549,0.88514,0.59335,0.67685,0.42001,1.32575,0.86784,1.09442,0.008812,0.008812,0.008812
14,131.002,1.42145,1.01947,1.12675,0.84096,0.63269,0.69165,0.44073,1.27531,0.86339,1.06369,0.008713,0.008713,0.008713
15,140.54,1.42551,0.99753,1.11202,0.86016,0.64644,0.70775,0.43301,1.28985,0.88759,1.07251,0.008614,0.008614,0.008614
16,150.126,1.44608,0.97823,1.12381,0.91241,0.59663,0.69579,0.43996,1.27487,0.84492,1.05472,0.008515,0.008515,0.008515
17,159.866,1.40091,0.94191,1.09902,0.87304,0.60326,0.68656,0.44011,1.261,0.85803,1.0599,0.008416,0.008416,0.008416
18,169.568,1.37207,0.9301,1.09672,0.86269,0.60147,0.67585,0.4297,1.28366,0.82003,1.05159,0.008317,0.008317,0.008317
19,179.27,1.38567,0.92188,1.09383,0.9144,0.61788,0.70822,0.45987,1.24961,0.77353,1.04508,0.008218,0.008218,0.008218
20,189.055,1.36327,0.90352,1.10403,0.89976,0.60369,0.70232,0.45653,1.2648,0.7765,1.07513,0.008119,0.008119,0.008119
21,198.765,1.36809,0.89852,1.10074,0.85266,0.6575,0.72683,0.46176,1.23848,0.75086,1.05049,0.00802,0.00802,0.00802
22,208.631,1.37325,0.88626,1.09662,0.89683,0.65907,0.73679,0.47947,1.22014,0.74834,1.02502,0.007921,0.007921,0.007921
23,218.437,1.35026,0.87728,1.08284,0.90256,0.65299,0.86316,0.51487,1.20929,0.7291,1.02495,0.007822,0.007822,0.007822
24,228.13,1.32269,0.85253,1.07924,0.89369,0.65649,0.85896,0.50836,1.20745,0.74554,1.02314,0.007723,0.007723,0.007723
25,237.811,1.33678,0.84124,1.07633,0.91404,0.67618,0.74979,0.49832,1.18957,0.69621,1.011,0.007624,0.007624,0.007624
26,247.507,1.31657,0.83267,1.0641,0.90931,0.65436,0.7714,0.49722,1.19315,0.73268,1.01585,0.007525,0.007525,0.007525
27,257.175,1.3359,0.8466,1.07626,0.85656,0.6758,0.78224,0.52018,1.15777,0.69851,1.00715,0.007426,0.007426,0.007426
28,266.89,1.30223,0.82355,1.06338,0.88363,0.68283,0.80629,0.51848,1.17118,0.74853,1.00637,0.007327,0.007327,0.007327
29,276.559,1.2894,0.80233,1.05867,0.86058,0.82103,0.87449,0.55975,1.14473,0.68149,0.99573,0.007228,0.007228,0.007228
30,286.305,1.30847,0.81276,1.05698,0.8913,0.69435,0.79679,0.53464,1.15345,0.69191,1.007,0.007129,0.007129,0.007129
31,295.952,1.28438,0.79763,1.04965,0.90652,0.69212,0.88033,0.56759,1.1475,0.68776,0.99102,0.00703,0.00703,0.00703
32,305.699,1.27007,0.78884,1.04752,0.92359,0.67797,0.88366,0.60676,1.12342,0.68997,0.98175,0.006931,0.006931,0.006931
33,315.429,1.25744,0.76654,1.04929,0.91352,0.68005,0.77707,0.5277,1.1228,0.68422,0.98733,0.006832,0.006832,0.006832
34,325.46,1.27682,0.76579,1.03894,0.91754,0.70025,0.90653,0.61003,1.11133,0.64006,0.97738,0.006733,0.006733,0.006733
35,335.272,1.25678,0.76695,1.03786,0.88012,0.84276,0.90126,0.61281,1.09505,0.62797,0.9774,0.006634,0.006634,0.006634
36,345.023,1.24823,0.74649,1.03311,0.90592,0.82231,0.89573,0.61464,1.05317,0.63112,0.96508,0.006535,0.006535,0.006535
37,354.782,1.24727,0.75923,1.03409,0.90919,0.70908,0.90238,0.60238,1.07168,0.61516,0.97175,0.006436,0.006436,0.006436
38,364.482,1.23765,0.74795,1.03423,0.92864,0.71057,0.89949,0.60853,1.07149,0.62653,0.97175,0.006337,0.006337,0.006337
39,374.153,1.23074,0.74917,1.03153,0.89111,0.73947,0.8462,0.5577,1.08948,0.60762,0.98887,0.006238,0.006238,0.006238
40,383.878,1.21475,0.7299,1.02794,0.94391,0.72459,0.84944,0.58644,1.04659,0.59766,0.95088,0.006139,0.006139,0.006139
41,393.562,1.20958,0.72399,1.02026,0.94544,0.72506,0.83248,0.58449,1.041,0.58226,0.95311,0.00604,0.00604,0.00604
42,403.273,1.21674,0.72824,1.02677,0.93802,0.84888,0.91158,0.61679,1.02215,0.5923,0.95073,0.005941,0.005941,0.005941
43,413.002,1.20831,0.72858,1.0193,0.88004,0.83079,0.89233,0.60462,1.06033,0.60289,0.96873,0.005842,0.005842,0.005842
