epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7089,1.3679,2.14666,1.22065,0.62023,0.41096,0.42767,0.28224,1.1996,1.31484,1.11072,0.00326241,0.00326241,0.0706383
2,20.7495,1.27514,1.2307,1.14345,0.77878,0.41157,0.51076,0.34629,1.18398,1.09533,1.11163,0.00653045,0.00653045,0.040573
3,29.7729,1.24306,1.13201,1.12945,0.56108,0.5329,0.52983,0.35276,1.2898,1.17082,1.14254,0.00973248,0.00973248,0.0104417
4,38.9054,1.2606,1.12961,1.12299,0.66962,0.50635,0.55003,0.34489,1.26158,1.15222,1.13803,0.009703,0.009703,0.009703
5,48.0456,1.2995,1.12803,1.14127,0.70415,0.46929,0.53556,0.3178,1.41058,1.3146,1.27451,0.009604,0.009604,0.009604
6,57.137,1.26797,1.08538,1.13285,0.76323,0.51183,0.55716,0.35636,1.26225,0.98116,1.14434,0.009505,0.009505,0.009505
7,66.2813,1.28176,1.0497,1.14806,0.7129,0.50524,0.5821,0.36755,1.32452,1.06175,1.21034,0.009406,0.009406,0.009406
8,75.4711,1.26173,1.03064,1.12791,0.85805,0.51757,0.6322,0.40977,1.24058,1.01411,1.13481,0.009307,0.009307,0.009307
9,84.6088,1.2465,1.00079,1.12714,0.81185,0.52211,0.66041,0.44566,1.21216,0.90515,1.11454,0.009208,0.009208,0.009208
10,93.8668,1.23749,0.96102,1.10676,0.87281,0.50846,0.6178,0.41332,1.18221,0.90497,1.07306,0.009109,0.009109,0.009109
11,103.075,1.23288,0.96053,1.10717,0.81289,0.6833,0.71875,0.46376,1.12582,0.78541,1.05012,0.00901,0.00901,0.00901
12,112.405,1.21715,0.93126,1.11249,0.87465,0.57172,0.70879,0.4721,1.16802,0.81861,1.06609,0.008911,0.008911,0.008911
13,121.692,1.21301,0.9268,1.10454,0.91749,0.56184,0.71044,0.48898,1.12953,0.79039,1.04989,0.008812,0.008812,0.008812
14,131.158,1.18255,0.90536,1.09308,0.82718,0.58395,0.69105,0.48265,1.11288,0.82947,1.04143,0.008713,0.008713,0.008713
15,140.449,1.18799,0.88716,1.09173,0.74582,0.65116,0.73337,0.4867,1.15927,0.85126,1.07604,0.008614,0.008614,0.008614
16,149.664,1.1806,0.88753,1.09454,0.8527,0.60667,0.71346,0.49612,1.07239,0.73865,1.02821,0.008515,0.008515,0.008515
17,158.892,1.19202,0.86371,1.08412,0.76761,0.67046,0.76101,0.5228,1.12299,0.77482,1.063,0.008416,0.008416,0.008416
18,168.159,1.1737,0.86493,1.08106,0.90336,0.63936,0.7219,0.493,1.09643,0.7335,1.02886,0.008317,0.008317,0.008317
19,177.29,1.13694,0.83009,1.06894,0.86455,0.62691,0.72866,0.49744,1.09812,0.76411,1.03032,0.008218,0.008218,0.008218
20,186.513,1.15602,0.83372,1.07733,0.85149,0.64152,0.73118,0.50701,1.04163,0.76098,1.01389,0.008119,0.008119,0.008119
21,195.703,1.12772,0.81085,1.06149,0.78316,0.65679,0.73304,0.52861,1.06772,0.70599,1.00971,0.00802,0.00802,0.00802
22,205.035,1.13223,0.81058,1.06534,0.86113,0.61246,0.74562,0.50575,1.09184,0.73252,1.03785,0.007921,0.007921,0.007921
23,214.265,1.12887,0.8011,1.06322,0.74564,0.75438,0.80182,0.57289,1.03046,0.67726,1.00146,0.007822,0.007822,0.007822
24,223.554,1.12002,0.79798,1.05955,0.8689,0.70617,0.81357,0.58199,1.05647,0.67818,1.00294,0.007723,0.007723,0.007723
25,232.762,1.10305,0.78005,1.05254,0.85898,0.72406,0.79513,0.56908,1.01812,0.64417,0.99428,0.007624,0.007624,0.007624
26,241.943,1.08757,0.75685,1.04038,0.83525,0.76343,0.83622,0.60093,1.00398,0.65372,0.96904,0.007525,0.007525,0.007525
27,251.142,1.0771,0.75562,1.04299,0.83291,0.73594,0.82521,0.59442,1.01002,0.65293,0.98202,0.007426,0.007426,0.007426
28,260.392,1.06168,0.72428,1.02876,0.73136,0.76239,0.80193,0.57836,0.96331,0.6252,0.9651,0.007327,0.007327,0.007327
29,269.531,1.05421,0.7111,1.02739,0.75931,0.79973,0.80056,0.59223,0.97973,0.62113,0.96776,0.007228,0.007228,0.007228
30,278.706,1.06119,0.72827,1.02546,0.90963,0.74381,0.81441,0.58446,1.00717,0.61843,0.99198,0.007129,0.007129,0.007129
31,287.851,1.04266,0.72223,1.01905,0.89955,0.74643,0.81808,0.58022,1.00048,0.65157,0.99482,0.00703,0.00703,0.00703
32,296.973,1.0326,0.71149,1.0148,0.86974,0.76426,0.84986,0.61257,0.97718,0.59588,0.98013,0.006931,0.006931,0.006931
33,306.186,1.0061,0.68134,1.00543,0.87405,0.77403,0.83881,0.60979,0.96666,0.58122,0.9851,0.006832,0.006832,0.006832
34,315.606,1.02818,0.69132,1.00208,0.91997,0.81208,0.87748,0.64621,0.95291,0.56714,0.96567,0.006733,0.006733,0.006733
35,324.787,1.01485,0.67779,1.00981,0.7308,0.84318,0.87439,0.63837,0.93341,0.56219,0.95579,0.006634,0.006634,0.006634
36,333.92,1.02359,0.68321,1.00419,0.94587,0.64174,0.8097,0.60498,0.96626,0.59552,0.97938,0.006535,0.006535,0.006535
37,343.118,1.01841,0.66998,1.0063,0.90583,0.73149,0.83119,0.6183,0.94628,0.57593,0.96712,0.006436,0.006436,0.006436
38,352.279,1.01107,0.68043,1.01014,0.8462,0.73948,0.80512,0.59848,0.94281,0.55857,0.9491,0.006337,0.006337,0.006337
39,361.469,1.00743,0.67528,1.00088,0.73561,0.80967,0.80389,0.60231,0.92748,0.56841,0.9609,0.006238,0.006238,0.006238
40,370.627,0.99779,0.65837,0.99721,0.84443,0.82955,0.87214,0.65287,0.90087,0.55957,0.94171,0.006139,0.006139,0.006139
41,379.828,0.98334,0.63815,0.98768,0.93334,0.76687,0.88081,0.65879,0.87422,0.5253,0.9229,0.00604,0.00604,0.00604
42,388.972,0.98314,0.64104,0.99074,0.89435,0.81002,0.88344,0.66346,0.90374,0.49915,0.93192,0.005941,0.005941,0.005941
43,398.289,0.96267,0.63056,0.98365,0.90406,0.82406,0.88707,0.66877,0.87889,0.50515,0.914,0.005842,0.005842,0.005842
44,407.54,0.95325,0.626,0.98022,0.91758,0.838,0.88888,0.66351,0.84586,0.50156,0.91568,0.005743,0.005743,0.005743
45,416.614,0.93462,0.61889,0.97954,0.89096,0.82141,0.8892,0.67239,0.82228,0.50675,0.90682,0.005644,0.005644,0.005644
46,425.82,0.97054,0.62568,0.9796,0.90034,0.83723,0.88266,0.67812,0.8305,0.49912,0.90448,0.005545,0.005545,0.005545
47,435.014,0.9476,0.61756,0.97721,0.9208,0.84785,0.89052,0.69159,0.81109,0.48113,0.88895,0.005446,0.005446,0.005446
48,444.224,0.93772,0.59545,0.9606,0.91021,0.83644,0.88844,0.674,0.80516,0.47431,0.88966,0.005347,0.005347,0.005347
49,453.322,0.93484,0.60869,0.96603,0.93283,0.82093,0.89224,0.68452,0.80116,0.47457,0.89354,0.005248,0.005248,0.005248
50,462.496,0.93343,0.59541,0.97547,0.94687,0.8273,0.88694,0.67531,0.81144,0.45913,0.89599,0.005149,0.005149,0.005149
51,471.651,0.89562,0.57254,0.96124,0.90473,0.8456,0.8916,0.68317,0.79032,0.46202,0.8833,0.00505,0.00505,0.00505
52,480.776,0.90363,0.57667,0.95912,0.93572,0.80246,0.8876,0.69067,0.79034,0.48145,0.88026,0.004951,0.004951,0.004951
