epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,562.762,1.54508,0.93536,0.00515,0.9398,0.7932,0.90865,0.62374,1.34586,0.7521,0.0069,0.005743,0.005743,0.005743
45,575.126,1.57167,0.93966,0.00512,0.75077,0.91152,0.9212,0.59828,1.29296,0.69546,0.00643,0.005644,0.005644,0.005644
46,587.692,1.53586,0.91774,0.00493,0.95418,0.72948,0.9172,0.59956,1.29579,0.7202,0.00646,0.005545,0.005545,0.005545
47,600.091,1.53829,0.90303,0.00499,0.90552,0.73296,0.91658,0.57062,1.30699,0.72444,0.00648,0.005446,0.005446,0.005446
48,612.384,1.51996,0.89041,0.00489,0.96945,0.83555,0.92905,0.62933,1.26137,0.65766,0.00631,0.005347,0.005347,0.005347
49,624.672,1.51837,0.87399,0.00498,0.94235,0.84478,0.92785,0.64891,1.25742,0.66717,0.00632,0.005248,0.005248,0.005248
50,636.977,1.49461,0.85697,0.00492,0.91295,0.85932,0.93199,0.6438,1.25778,0.64328,0.00627,0.005149,0.005149,0.005149
51,649.271,1.4874,0.85355,0.00475,0.91238,0.85279,0.92721,0.65741,1.22485,0.6288,0.00612,0.00505,0.00505,0.00505
52,661.596,1.48183,0.84867,0.00494,0.93732,0.84631,0.93188,0.67077,1.24077,0.6279,0.00604,0.004951,0.004951,0.004951
53,674.01,1.52055,0.86729,0.00475,0.90915,0.83946,0.92549,0.63513,1.24945,0.65235,0.00627,0.004852,0.004852,0.004852
54,686.256,1.47732,0.82292,0.00485,0.92929,0.86234,0.93136,0.65147,1.25107,0.60746,0.00622,0.004753,0.004753,0.004753
55,698.581,1.49292,0.8372,0.00485,0.93112,0.86327,0.93039,0.64502,1.25543,0.61727,0.00617,0.004654,0.004654,0.004654
56,710.949,1.47899,0.83717,0.00488,0.95765,0.8686,0.93775,0.6645,1.21274,0.62036,0.00594,0.004555,0.004555,0.004555
