epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3295,1.41561,2.03832,1.21082,0.78245,0.3444,0.47002,0.28729,1.18275,1.29022,1.06143,0.00326241,0.00326241,0.0706383
2,21.7976,1.27984,1.23861,1.13589,0.86876,0.41506,0.50546,0.34206,1.13771,1.04742,1.03623,0.00653045,0.00653045,0.040573
3,31.1688,1.27048,1.16045,1.12011,0.74758,0.45175,0.52899,0.35667,1.15263,1.01295,1.01923,0.00973248,0.00973248,0.0104417
4,40.5983,1.28135,1.11592,1.11489,0.728,0.50976,0.54551,0.35577,1.17509,1.00658,1.0201,0.009703,0.009703,0.009703
5,50.109,1.31245,1.11497,1.12837,0.8543,0.46988,0.53719,0.35161,1.16644,1.05229,1.0306,0.009604,0.009604,0.009604
6,59.5793,1.27655,1.06556,1.13339,0.85646,0.49129,0.61521,0.41524,1.12934,0.95054,1.0411,0.009505,0.009505,0.009505
7,68.9849,1.28964,1.0726,1.12995,0.58779,0.64362,0.65754,0.45247,1.12255,0.92101,1.03373,0.009406,0.009406,0.009406
8,78.4792,1.24626,1.01911,1.10919,0.81452,0.52783,0.63497,0.43022,1.09487,0.86499,1.02561,0.009307,0.009307,0.009307
9,87.8553,1.24845,0.97468,1.10867,0.81116,0.53269,0.61045,0.40867,1.11411,0.85903,1.01426,0.009208,0.009208,0.009208
10,97.3813,1.26714,0.98161,1.11678,0.77207,0.51221,0.61433,0.42602,1.09989,0.90331,1.01623,0.009109,0.009109,0.009109
11,106.829,1.24694,0.96587,1.10096,0.89264,0.54498,0.6576,0.44094,1.07717,0.84282,1.00412,0.00901,0.00901,0.00901
12,116.28,1.20846,0.93804,1.09385,0.86749,0.54018,0.61146,0.41483,1.07917,0.79337,1.0086,0.008911,0.008911,0.008911
13,125.807,1.20957,0.91505,1.07287,0.86614,0.60979,0.70917,0.50484,1.05633,0.76328,1.01113,0.008812,0.008812,0.008812
14,135.378,1.19231,0.89203,1.0835,0.74119,0.60129,0.66277,0.43527,1.1133,0.82939,1.02891,0.008713,0.008713,0.008713
15,144.942,1.17485,0.88564,1.06843,0.85995,0.61814,0.67758,0.46552,1.02847,0.77697,0.9712,0.008614,0.008614,0.008614
16,154.502,1.17335,0.85848,1.0625,0.86141,0.57655,0.71851,0.50427,1.06579,0.74179,1.00215,0.008515,0.008515,0.008515
17,164.133,1.16788,0.85316,1.06599,0.86137,0.61947,0.70622,0.49549,1.05374,0.78398,0.98821,0.008416,0.008416,0.008416
18,173.9,1.163,0.84944,1.06287,0.90441,0.59079,0.75395,0.54575,0.97488,0.70357,0.96404,0.008317,0.008317,0.008317
19,183.635,1.16502,0.8335,1.06297,0.88662,0.57492,0.77121,0.54492,1.00275,0.70901,0.97176,0.008218,0.008218,0.008218
20,193.357,1.14272,0.82273,1.05507,0.85443,0.68282,0.75184,0.54453,0.95215,0.66882,0.94291,0.008119,0.008119,0.008119
21,202.948,1.14632,0.81538,1.04855,0.91056,0.65063,0.76293,0.54454,0.97057,0.66854,0.961,0.00802,0.00802,0.00802
22,212.631,1.11814,0.78837,1.05073,0.8652,0.68311,0.79399,0.56938,0.93293,0.63504,0.94401,0.007921,0.007921,0.007921
23,222.33,1.11827,0.77394,1.03733,0.87609,0.66007,0.81433,0.60376,0.94393,0.61656,0.94343,0.007822,0.007822,0.007822
24,232.088,1.09678,0.76978,1.03752,0.87214,0.67605,0.83751,0.6164,0.93133,0.639,0.94181,0.007723,0.007723,0.007723
25,241.773,1.07827,0.73867,1.02743,0.86945,0.72544,0.8171,0.61358,0.94492,0.62402,0.94157,0.007624,0.007624,0.007624
26,251.547,1.08423,0.73569,1.01924,0.77567,0.7881,0.84208,0.63495,0.93534,0.59886,0.93056,0.007525,0.007525,0.007525
27,261.269,1.09228,0.74823,1.02909,0.77597,0.68153,0.74732,0.52537,0.9716,0.64847,0.94853,0.007426,0.007426,0.007426
28,270.963,1.08209,0.73071,1.02433,0.8714,0.75016,0.86694,0.64222,0.91986,0.61098,0.9406,0.007327,0.007327,0.007327
29,280.72,1.07777,0.72534,1.01486,0.89979,0.66969,0.87017,0.62283,0.90053,0.59609,0.92638,0.007228,0.007228,0.007228
30,290.775,1.054,0.71339,1.01583,0.90239,0.75557,0.84302,0.62363,0.9002,0.58376,0.92223,0.007129,0.007129,0.007129
31,300.523,1.06826,0.70095,1.00701,0.91725,0.77151,0.86573,0.65593,0.89553,0.58723,0.92701,0.00703,0.00703,0.00703
32,310.33,1.03847,0.70155,1.00276,0.91487,0.75705,0.86358,0.65364,0.883,0.5685,0.92662,0.006931,0.006931,0.006931
33,320.064,1.03142,0.69129,1.00988,0.8741,0.80961,0.87098,0.6602,0.86906,0.56214,0.91243,0.006832,0.006832,0.006832
34,329.741,1.02732,0.68455,1.00137,0.90727,0.77098,0.84412,0.64719,0.8736,0.54723,0.9193,0.006733,0.006733,0.006733
35,339.314,1.00243,0.66996,0.99675,0.94428,0.77142,0.87444,0.67489,0.85442,0.5282,0.91538,0.006634,0.006634,0.006634
36,349.196,1.01072,0.66387,0.99248,0.91299,0.80911,0.87062,0.65837,0.83069,0.52684,0.90276,0.006535,0.006535,0.006535
37,358.892,0.98041,0.65799,0.9911,0.77504,0.82773,0.86928,0.67655,0.82241,0.54079,0.90086,0.006436,0.006436,0.006436
38,368.715,0.98818,0.65345,0.98471,0.79849,0.85702,0.87177,0.66295,0.84275,0.54249,0.90237,0.006337,0.006337,0.006337
39,378.505,0.99446,0.65967,0.98547,0.77756,0.89046,0.88925,0.68087,0.81862,0.51088,0.89561,0.006238,0.006238,0.006238
40,388.286,0.97838,0.64144,0.98651,0.92138,0.71636,0.85532,0.66262,0.82078,0.52367,0.89484,0.006139,0.006139,0.006139
41,398.031,0.98823,0.6409,0.97965,0.93541,0.7549,0.88655,0.68741,0.80069,0.51199,0.87938,0.00604,0.00604,0.00604
42,407.996,0.96368,0.62418,0.98049,0.92464,0.78093,0.88068,0.69827,0.79129,0.4917,0.87614,0.005941,0.005941,0.005941
43,418.156,0.99036,0.63627,0.98246,0.80886,0.82135,0.87408,0.67213,0.78855,0.47065,0.87464,0.005842,0.005842,0.005842
44,428.107,0.96011,0.61232,0.97059,0.92471,0.83918,0.88528,0.68445,0.78841,0.48823,0.88257,0.005743,0.005743,0.005743
45,437.875,0.94936,0.60996,0.96652,0.93381,0.84521,0.88508,0.68875,0.78388,0.48305,0.87849,0.005644,0.005644,0.005644
46,447.652,0.95293,0.61067,0.96727,0.94904,0.81174,0.88799,0.68658,0.77527,0.47391,0.87769,0.005545,0.005545,0.005545
47,457.386,0.94358,0.59926,0.95922,0.80212,0.88188,0.89762,0.69068,0.76577,0.47263,0.8707,0.005446,0.005446,0.005446
48,466.974,0.95019,0.59677,0.96538,0.91925,0.8588,0.90839,0.70639,0.76814,0.4722,0.88262,0.005347,0.005347,0.005347
49,476.735,0.9311,0.59141,0.95935,0.91162,0.85662,0.89162,0.70433,0.75021,0.4613,0.87846,0.005248,0.005248,0.005248
50,486.448,0.92125,0.58625,0.9544,0.95839,0.80048,0.9102,0.70899,0.75315,0.45913,0.8729,0.005149,0.005149,0.005149
51,496.338,0.91717,0.56996,0.95306,0.88798,0.85663,0.89605,0.70919,0.73987,0.4739,0.87547,0.00505,0.00505,0.00505
52,506.25,0.90821,0.56608,0.95383,0.89936,0.84632,0.89208,0.70828,0.7319,0.46023,0.86264,0.004951,0.004951,0.004951
53,515.995,0.89512,0.56579,0.94394,0.89178,0.87088,0.89871,0.7158,0.74554,0.46323,0.86347,0.004852,0.004852,0.004852
54,525.668,0.88349,0.54693,0.9441,0.91168,0.85556,0.91114,0.73303,0.72218,0.4456,0.85779,0.004753,0.004753,0.004753
55,535.404,0.88379,0.55191,0.94683,0.90772,0.84165,0.92008,0.73139,0.71219,0.4392,0.85659,0.004654,0.004654,0.004654
56,545.215,0.87652,0.55587,0.94577,0.89395,0.82875,0.90971,0.71886,0.71431,0.42998,0.85161,0.004555,0.004555,0.004555
57,555.069,0.88586,0.55393,0.93753,0.8679,0.90718,0.9282,0.74606,0.7178,0.42758,0.84985,0.004456,0.004456,0.004456
58,564.926,0.88301,0.55821,0.93671,0.87558,0.84843,0.91889,0.74059,0.68878,0.42399,0.84461,0.004357,0.004357,0.004357
59,574.942,0.87445,0.54823,0.93453,0.91792,0.84783,0.92689,0.75268,0.68496,0.40891,0.84168,0.004258,0.004258,0.004258
60,585.084,0.85837,0.53149,0.93168,0.91163,0.8914,0.94767,0.77477,0.67489,0.4011,0.84187,0.004159,0.004159,0.004159
61,595.04,0.85205,0.5338,0.93159,0.93113,0.84198,0.9281,0.76401,0.6756,0.40874,0.84047,0.00406,0.00406,0.00406
62,604.795,0.85496,0.53115,0.9272,0.92495,0.88699,0.94614,0.76011,0.67659,0.39697,0.83774,0.003961,0.003961,0.003961
63,614.682,0.85494,0.52648,0.92433,0.94335,0.87092,0.91743,0.74763,0.65917,0.39212,0.83579,0.003862,0.003862,0.003862
64,624.345,0.82228,0.51207,0.92061,0.91537,0.84446,0.94005,0.75369,0.67951,0.39536,0.84434,0.003763,0.003763,0.003763
65,634.038,0.82821,0.51685,0.92116,0.93342,0.90221,0.95708,0.78151,0.64135,0.38939,0.83483,0.003664,0.003664,0.003664
66,643.868,0.82564,0.51192,0.92267,0.91814,0.89898,0.94551,0.77549,0.65212,0.3843,0.83174,0.003565,0.003565,0.003565
67,653.603,0.82851,0.50645,0.91693,0.82188,0.89738,0.93373,0.76983,0.63387,0.38323,0.82704,0.003466,0.003466,0.003466
68,663.45,0.81587,0.50197,0.91903,0.93991,0.89201,0.95544,0.78403,0.64957,0.38114,0.82742,0.003367,0.003367,0.003367
69,673.228,0.80225,0.49073,0.91717,0.91347,0.90919,0.95617,0.77514,0.63703,0.37296,0.82435,0.003268,0.003268,0.003268
70,683.366,0.80577,0.49583,0.91293,0.9315,0.91336,0.95219,0.79059,0.6252,0.37193,0.82543,0.003169,0.003169,0.003169
71,693.148,0.81771,0.50318,0.91421,0.9574,0.9,0.95367,0.78043,0.62,0.37181,0.82778,0.00307,0.00307,0.00307
72,702.853,0.80415,0.48063,0.91082,0.95495,0.90418,0.95417,0.79386,0.61036,0.36208,0.82613,0.002971,0.002971,0.002971
73,712.703,0.79594,0.48418,0.90476,0.94759,0.9055,0.96264,0.79295,0.61284,0.36689,0.8225,0.002872,0.002872,0.002872
74,722.507,0.79499,0.49097,0.91437,0.9545,0.9162,0.96153,0.81495,0.61251,0.35406,0.82088,0.002773,0.002773,0.002773
75,732.308,0.77991,0.4795,0.90247,0.93901,0.86728,0.95031,0.80074,0.60363,0.35934,0.81537,0.002674,0.002674,0.002674
76,742.11,0.78193,0.48141,0.90537,0.94395,0.85818,0.93853,0.79397,0.60507,0.3516,0.81441,0.002575,0.002575,0.002575
77,751.834,0.78555,0.4818,0.90268,0.953,0.85712,0.9352,0.7842,0.59735,0.34516,0.81379,0.002476,0.002476,0.002476
78,761.689,0.78258,0.47693,0.90947,0.95376,0.91762,0.95569,0.80031,0.59661,0.34785,0.81025,0.002377,0.002377,0.002377
