epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3122,1.89997,3.2824,0.00783,0.58597,0.36327,0.38181,0.1989,1.79266,2.57763,0.01069,0.00326241,0.00326241,0.0706383
2,46.9868,1.81089,2.19855,0.00719,0.75241,0.47586,0.51069,0.28668,1.7399,1.82994,0.01037,0.00653045,0.00653045,0.040573
3,58.6534,1.79186,1.89871,0.00734,0.73715,0.43486,0.50454,0.27748,1.74117,1.82977,0.0104,0.00973248,0.00973248,0.0104417
4,70.3278,1.82469,1.80463,0.00721,0.80125,0.4349,0.5004,0.27692,1.7337,1.78035,0.0108,0.009703,0.009703,0.009703
5,82.4388,1.81426,1.72415,0.0074,0.75733,0.49545,0.54949,0.31328,1.69463,1.47701,0.01031,0.009604,0.009604,0.009604
6,94.3308,1.78165,1.57958,0.00711,0.75074,0.49198,0.53872,0.30134,1.74293,1.53873,0.01037,0.009505,0.009505,0.009505
7,106.305,1.77607,1.58746,0.00721,0.77342,0.52725,0.69098,0.37826,1.71461,1.4611,0.01018,0.009406,0.009406,0.009406
8,118.288,1.76254,1.53489,0.00702,0.80105,0.49699,0.69297,0.37981,1.72804,1.47236,0.01067,0.009307,0.009307,0.009307
9,130.347,1.75261,1.51413,0.00703,0.82277,0.67789,0.77789,0.43683,1.68315,1.29118,0.0103,0.009208,0.009208,0.009208
10,142.421,1.78262,1.44108,0.00698,0.81755,0.6446,0.75837,0.45734,1.6985,1.20908,0.01002,0.009109,0.009109,0.009109
11,154.464,1.72976,1.40045,0.00696,0.82224,0.70451,0.78939,0.48569,1.66525,1.22855,0.00986,0.00901,0.00901,0.00901
12,166.323,1.76189,1.39133,0.00683,0.87845,0.71546,0.80021,0.48365,1.67061,1.07107,0.01011,0.008911,0.008911,0.008911
13,178.278,1.74603,1.37331,0.0068,0.88794,0.71749,0.81354,0.53831,1.64065,1.07324,0.00954,0.008812,0.008812,0.008812
14,190.357,1.73561,1.33794,0.00682,0.76696,0.56574,0.6579,0.394,1.72813,1.3446,0.01054,0.008713,0.008713,0.008713
15,202.259,1.74442,1.33074,0.00664,0.88956,0.66131,0.75904,0.46531,1.57608,1.07354,0.00908,0.008614,0.008614,0.008614
16,214.188,1.72791,1.29597,0.0065,0.89751,0.64748,0.79469,0.4744,1.62183,1.04139,0.00933,0.008515,0.008515,0.008515
17,226.192,1.72219,1.26837,0.00655,0.85228,0.67936,0.79154,0.46854,1.56959,1.06261,0.00902,0.008416,0.008416,0.008416
18,238.296,1.70786,1.27703,0.00649,0.8963,0.73881,0.82574,0.4868,1.57527,1.02135,0.00905,0.008317,0.008317,0.008317
19,250.291,1.70792,1.25878,0.0065,0.90718,0.65266,0.75644,0.48206,1.58819,1.0242,0.00911,0.008218,0.008218,0.008218
20,262.287,1.68301,1.23273,0.00666,0.87127,0.74029,0.84211,0.49653,1.6212,1.03906,0.00923,0.008119,0.008119,0.008119
21,274.262,1.70048,1.22972,0.00645,0.86567,0.73548,0.83063,0.50185,1.57854,0.98698,0.0089,0.00802,0.00802,0.00802
22,286.221,1.69268,1.19519,0.00627,0.84251,0.7717,0.84422,0.5466,1.56738,0.95478,0.0091,0.007921,0.007921,0.007921
23,298.192,1.65925,1.19989,0.00628,0.76531,0.79909,0.80353,0.50526,1.57194,0.96293,0.00901,0.007822,0.007822,0.007822
24,310.198,1.65187,1.19819,0.0064,0.90779,0.76395,0.84084,0.53603,1.59394,0.97492,0.00918,0.007723,0.007723,0.007723
25,322.082,1.6657,1.15937,0.0064,0.85232,0.74544,0.84949,0.54579,1.57677,0.91102,0.00894,0.007624,0.007624,0.007624
26,333.944,1.65207,1.12973,0.00606,0.86185,0.79717,0.86461,0.55898,1.54924,0.85291,0.00864,0.007525,0.007525,0.007525
27,345.961,1.61692,1.13227,0.00636,0.89825,0.76304,0.86478,0.57738,1.48781,0.9125,0.00836,0.007426,0.007426,0.007426
28,357.975,1.6474,1.11012,0.00625,0.90177,0.78982,0.86864,0.5993,1.50936,0.85312,0.00824,0.007327,0.007327,0.007327
29,369.915,1.63544,1.099,0.00642,0.92861,0.76156,0.85442,0.54383,1.5622,0.90736,0.00866,0.007228,0.007228,0.007228
30,381.853,1.63427,1.0741,0.00621,0.85854,0.78083,0.8572,0.58219,1.5557,0.8868,0.0088,0.007129,0.007129,0.007129
31,393.999,1.62069,1.08914,0.00606,0.89341,0.77615,0.87448,0.59478,1.52797,0.8811,0.00837,0.00703,0.00703,0.00703
32,406.001,1.61352,1.07499,0.00612,0.91901,0.77859,0.88772,0.60751,1.50717,0.83254,0.0082,0.006931,0.006931,0.006931
33,417.905,1.59413,1.05336,0.00616,0.88023,0.78328,0.87053,0.5844,1.51362,0.83858,0.00831,0.006832,0.006832,0.006832
34,429.884,1.59034,1.02989,0.00585,0.90375,0.82337,0.88655,0.5417,1.52819,0.78518,0.00849,0.006733,0.006733,0.006733
35,441.815,1.58964,1.04089,0.006,0.91896,0.79319,0.88152,0.5924,1.50776,0.80781,0.00844,0.006634,0.006634,0.006634
36,453.696,1.58415,1.0528,0.00589,0.92828,0.79028,0.89518,0.61227,1.45639,0.808,0.0079,0.006535,0.006535,0.006535
37,465.725,1.58628,1.03024,0.00595,0.89298,0.8361,0.90876,0.62565,1.49205,0.75842,0.0081,0.006436,0.006436,0.006436
38,477.671,1.58566,1.00435,0.00578,0.92166,0.82301,0.90782,0.62027,1.46969,0.7531,0.00787,0.006337,0.006337,0.006337
39,489.573,1.55464,0.98678,0.00591,0.91114,0.83991,0.90786,0.62615,1.48211,0.72503,0.00808,0.006238,0.006238,0.006238
40,501.521,1.54989,0.97084,0.0057,0.88338,0.8392,0.90371,0.6007,1.46828,0.76542,0.00787,0.006139,0.006139,0.006139
41,513.389,1.56446,0.97694,0.00571,0.91602,0.82816,0.91326,0.63315,1.43286,0.70734,0.00774,0.00604,0.00604,0.00604
42,525.368,1.55841,0.96663,0.00588,0.93967,0.81533,0.90455,0.62496,1.45419,0.72816,0.00781,0.005941,0.005941,0.005941
43,537.561,1.54281,0.97057,0.00558,0.90592,0.85856,0.91373,0.63625,1.40032,0.67801,0.00742,0.005842,0.005842,0.005842
44,549.588,1.5374,0.94351,0.0057,0.91724,0.83405,0.91044,0.643,1.40435,0.70353,0.00732,0.005743,0.005743,0.005743
45,561.497,1.53569,0.92511,0.00563,0.93109,0.84945,0.91832,0.63993,1.43712,0.67312,0.00749,0.005644,0.005644,0.005644
46,573.563,1.5353,0.93484,0.00542,0.93539,0.83363,0.91665,0.65123,1.40093,0.67728,0.00727,0.005545,0.005545,0.005545
47,585.554,1.51877,0.90973,0.00551,0.91988,0.85208,0.91559,0.62575,1.40581,0.70773,0.00725,0.005446,0.005446,0.005446
48,597.493,1.511,0.9047,0.00551,0.90692,0.85411,0.91871,0.63159,1.38697,0.64894,0.00718,0.005347,0.005347,0.005347
49,609.359,1.50275,0.90092,0.00546,0.91732,0.86398,0.92065,0.63055,1.3984,0.68401,0.00715,0.005248,0.005248,0.005248
50,621.277,1.50847,0.9024,0.00552,0.95557,0.82826,0.92042,0.63795,1.35037,0.66373,0.00698,0.005149,0.005149,0.005149
51,633.196,1.49154,0.86253,0.00539,0.93569,0.86743,0.92524,0.63201,1.38997,0.63476,0.00722,0.00505,0.00505,0.00505
52,645.138,1.49608,0.88587,0.00534,0.90173,0.86839,0.92339,0.65208,1.35835,0.65758,0.00727,0.004951,0.004951,0.004951
53,657.069,1.47229,0.86821,0.00521,0.92225,0.85657,0.92211,0.65684,1.37394,0.62877,0.00718,0.004852,0.004852,0.004852
54,669.182,1.46184,0.85125,0.00536,0.91726,0.87024,0.9274,0.68625,1.32475,0.64864,0.00681,0.004753,0.004753,0.004753
55,681.184,1.48584,0.84614,0.00528,0.93669,0.86379,0.92725,0.67507,1.33009,0.66967,0.00683,0.004654,0.004654,0.004654
56,693.024,1.45871,0.85508,0.00514,0.94485,0.88648,0.93521,0.68111,1.30419,0.60444,0.00668,0.004555,0.004555,0.004555
57,705.335,1.46332,0.8442,0.00518,0.95189,0.85783,0.92751,0.6413,1.35626,0.62781,0.00707,0.004456,0.004456,0.004456
58,717.216,1.46547,0.84539,0.0053,0.93507,0.86391,0.93341,0.69098,1.31302,0.58435,0.00664,0.004357,0.004357,0.004357
